name,email,standard,gender,avg_sat_score,avg_pat_score,attendance,category
Heidi Short,fsims@hotmail.com,9,Female,74.5,26.4,86.5,Low
Lisa Obrien,brownsusan@yahoo.com,12,Male,86.9,30.4,82.9,Medium
Megan Collins,brian83@waters.info,9,Male,64.0,37.0,90.2,Medium
Alicia Smith,romerojames@gmail.com,12,Female,62.4,29.5,86.9,Low
Erika Walker,ipeterson@yahoo.com,8,Female,60.3,33.6,86.7,Medium
Philip Wallace,john55@gmail.com,8,Female,75.8,29.0,72.3,Low
Mrs. Felicia Hopkins DDS,justinflores@allen-dean.com,8,Male,78.6,37.2,100.0,Medium
Zachary Garza,henry03@hotmail.com,12,Male,58.7,45.4,75.5,Low
Aaron Lee,chunt@green-mueller.net,9,Female,66.4,39.6,87.8,Medium
Jacqueline Reeves,theresaturner@bradshaw.com,9,Male,78.3,42.3,82.9,Medium
Tyler Hunt,johnsonelizabeth@gutierrez.com,9,Male,73.9,33.5,100.0,Medium
Karen Carrillo,lisahouston@patrick.com,11,Male,59.0,36.2,68.3,Low
Edward Brown,millerlaura@moss.biz,9,Male,62.5,31.7,76.0,Medium
Mr. Michael Brown II,kevinjones@gmail.com,9,Male,66.7,27.1,77.9,Low
Haley Rogers,alexis39@avila.com,9,Female,64.4,32.3,84.3,Medium
Lauren Kelly,kristinhernandez@jones.net,12,Female,75.0,41.1,72.5,Low
Anna Little,victoriajones@anderson.com,10,Male,61.3,32.9,61.7,Low
Susan Wolfe,nhorton@dalton.com,12,Male,82.9,50.0,87.6,Medium
Daniel Avila,stevegarcia@brown-ashley.com,12,Male,63.4,35.4,83.4,Medium
Shawn Smith,jjensen@gmail.com,8,Female,77.6,32.1,100.0,Medium
Sara Vaughn,dpratt@short.com,9,Male,57.9,34.1,78.8,Low
Kathleen Martinez,rachel33@foster-yates.info,9,Male,57.1,29.6,86.6,Low
Amber Williams,zjohnson@bryan.org,11,Female,78.0,35.8,78.3,Medium
Gregory Schwartz,wagnerraymond@atkinson.com,10,Male,72.6,31.3,88.1,Medium
Samantha Melendez,bmartin@gmail.com,12,Male,58.4,40.2,81.5,Low
Sandra Ellis,htaylor@white.com,9,Female,82.5,38.5,88.1,Medium
Kenneth Hill,jennifer90@gmail.com,9,Female,73.2,23.6,97.1,Low
Kimberly Sanchez,rosejonathan@mullen.info,11,Male,72.1,34.2,76.2,Medium
Michelle Elliott,kim99@brown.com,12,Female,67.1,29.7,96.7,Low
Jackson Avila,megan76@padilla.biz,9,Female,71.7,46.6,100.0,Medium
Joanne Sweeney,lmason@jacobs.net,10,Male,70.4,42.9,68.3,Low
Kenneth Greene,itran@eaton-gardner.com,10,Female,48.9,27.4,90.3,Low
John Johnson,elainegibson@gmail.com,12,Female,71.3,47.1,91.1,Medium
Donald Soto,hwebb@hotmail.com,12,Female,71.5,27.8,80.1,Low
Cynthia Castro,sanderslinda@gmail.com,12,Male,77.3,41.1,82.1,Medium
Sarah Hall,uoliver@gmail.com,12,Male,76.3,50.0,77.9,Medium
Jesus Martinez,johnsonjohn@hotmail.com,8,Male,73.2,43.2,95.0,Medium
Courtney Hansen,thomasconner@nguyen.com,10,Female,85.7,24.2,81.7,Low
Rachel Johnson,michaelthompson@yahoo.com,10,Female,77.4,40.4,88.0,Medium
Anthony Pearson,woodjessica@fry-le.com,11,Male,71.6,49.9,100.0,Medium
Laurie Munoz,stephaniesanford@knight-kane.com,11,Female,61.4,31.5,85.8,Medium
Nicholas Lee,meganstewart@gmail.com,11,Male,82.1,39.4,72.0,Low
Brian Frost DVM,brenda74@yahoo.com,12,Female,68.2,27.2,99.2,Low
David Evans,phamangela@yahoo.com,8,Female,66.1,37.9,91.8,Medium
Zachary Pope,phillipmartinez@williams.biz,10,Male,74.3,27.4,80.8,Low
Keith Zamora,scottronald@mcdowell.com,10,Female,79.2,33.9,90.4,Medium
John Hanson,laura21@hart.org,9,Male,67.3,38.0,95.0,Medium
Joshua Gibson,jonathan98@jordan-valdez.com,10,Male,56.5,31.9,85.1,Low
Taylor Hardy,jodi03@harmon.biz,9,Female,68.7,33.4,75.6,Medium
Bruce Pope,edwardhill@smith.com,11,Female,67.8,28.9,70.6,Low
Ricardo Blair,richard54@gmail.com,10,Female,77.4,29.7,92.4,Low
James Hall,jason76@roberts-weaver.com,12,Male,73.1,22.8,83.2,Low
Veronica Thompson,matthewyates@medina.biz,8,Female,96.5,44.8,79.6,Medium
Natalie Jordan,tyler08@rose.com,12,Female,59.7,39.2,93.6,Low
Gina Tucker,shelley91@hotmail.com,9,Female,62.9,37.2,86.3,Medium
Johnathan Ward,ryanwallace@wilkins.net,8,Male,66.9,39.5,83.2,Medium
Randall Ford,stricklandkelly@johnson-sanchez.com,10,Male,72.5,25.7,95.7,Low
Cynthia Lewis,monica13@gmail.com,9,Female,74.6,26.7,88.1,Low
Jermaine Johnson,andrebaker@hotmail.com,8,Female,61.8,47.0,70.7,Low
Ryan Ward,zwells@yahoo.com,8,Male,56.0,33.7,83.3,Low
Nicole English,kaylaramos@wells.com,8,Female,74.6,45.9,91.5,Medium
Keith Huerta,shellymiller@hotmail.com,11,Female,56.7,30.2,92.9,Low
Jose Rodriguez,eedwards@yahoo.com,8,Female,54.8,35.7,76.8,Low
Suzanne Davidson,bnorris@johnson-lewis.info,10,Female,69.4,42.0,90.5,Medium
Angela Bean,knelson@gmail.com,12,Male,54.0,37.0,83.7,Low
Frederick Stone,bensonalex@yahoo.com,11,Male,50.3,29.5,84.2,Low
Billy Cross,michaeltara@brown.org,8,Male,60.7,40.6,83.5,Medium
John Garza,jilllee@mccoy.com,11,Male,83.1,29.5,91.2,Low
Matthew Medina,brianclark@yahoo.com,10,Female,79.5,35.4,80.0,Medium
Zachary Ritter,ebennett@bowman.com,9,Female,68.8,36.5,95.9,Medium
Diane Winters,daniel55@martinez.org,11,Male,75.6,47.3,79.5,Medium
William Deleon,brownerik@tyler.com,10,Male,76.4,37.2,81.7,Medium
Traci Clements,elizabeth01@walton-jacobs.biz,8,Male,70.4,39.9,84.0,Medium
Jennifer Hardy,tlawson@yahoo.com,9,Male,47.9,30.6,79.3,Low
Jason Moreno,hoffmanmadeline@gmail.com,11,Male,40.0,32.6,92.7,Low
